Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-15,201.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-16,250.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-17,68.33333333333333
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-18,157.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-19,128.66666666666666
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-20,211.8
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-21,158.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-22,202.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-23,160.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-24,144.16666666666666
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-25,130.16666666666666
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-26,114.25
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-27,129.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-28,181.33333333333334
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-29,181.33333333333334
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-30,152.66666666666666
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-03-31,88.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-01,96.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-02,80.57142857142857
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-03,97.14285714285714
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-04,88.71428571428571
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-05,127.4
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-06,120.33333333333333
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-07,199.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-08,275.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-09,185.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-10,155.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-11,90.6
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-12,89.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-13,52.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-14,210.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-15,145.33333333333334
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-16,147.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-17,130.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-18,107.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-19,120.28571428571429
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-20,119.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-21,169.8
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-22,116.16666666666667
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-23,104.57142857142857
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-24,75.8
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-25,89.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-26,
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-27,
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-28,
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-29,
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-04-30,253.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-01,253.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-02,253.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-03,
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-04,144.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-05,157.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-06,105.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-07,99.2
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-08,99.8
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-09,146.25
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-10,148.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-11,132.75
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-12,143.2
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-13,126.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-14,129.66666666666666
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-15,95.8
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-16,113.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-17,80.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-18,189.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-19,189.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-20,121.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-21,87.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-22,87.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-23,127.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-24,127.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-25,127.0
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-26,121.5
ZAF124,ZAF124_19,Elsies Rivier,-33.930921,18.5772435,2012-05-27,93.0
