Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-12,50.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-13,50.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-14,62.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-15,139.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-16,114.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-17,100.33333333333333
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-18,69.28571428571429
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-19,84.57142857142857
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-20,90.57142857142857
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-21,127.66666666666667
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-22,120.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-23,172.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-24,121.66666666666667
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-25,135.2
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-26,112.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-27,166.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-28,163.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-29,182.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-30,164.66666666666666
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-07-31,167.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-01,187.33333333333334
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-02,187.42857142857142
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-03,188.71428571428572
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-04,173.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-05,162.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-06,162.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-07,162.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-08,275.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-09,161.33333333333334
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-10,132.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-11,83.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-12,90.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-13,139.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-14,139.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-15,134.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-16,85.71428571428571
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-17,76.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-18,49.2
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-19,30.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-20,30.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-21,27.333333333333332
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-22,
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-23,63.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-24,72.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-25,72.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-26,166.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-27,251.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-28,208.66666666666666
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-29,123.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-30,131.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-08-31,139.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-01,85.66666666666667
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-02,79.33333333333333
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-03,72.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-04,162.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-05,186.2
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-06,168.16666666666666
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-07,132.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-08,65.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-09,62.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-10,49.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-11,46.333333333333336
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-12,41.833333333333336
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-13,101.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-14,142.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-15,245.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-16,161.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-17,173.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-18,185.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-19,170.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-20,155.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-21,155.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-22,
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-23,78.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-24,78.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-25,78.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-26,72.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-27,97.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-28,78.66666666666667
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-29,90.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-09-30,85.75
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-01,143.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-02,130.25
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-03,128.33333333333334
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-04,106.33333333333333
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-05,101.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-06,101.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-07,
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-08,41.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-09,41.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-10,41.5
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-11,210.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-12,163.66666666666666
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-13,163.66666666666666
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-14,118.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-15,106.25
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-16,81.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-17,74.6
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-18,77.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-19,69.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-20,35.333333333333336
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-21,35.333333333333336
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-22,319.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-23,319.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-24,206.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-25,106.25
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-26,106.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-27,102.33333333333333
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-28,87.8
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-29,88.25
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-30,93.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-10-31,80.8
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-01,86.4
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-02,83.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-03,153.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-04,
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-05,97.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-06,69.0
ZAF124,ZAF124_63,Wolseley,-33.4130556,19.2016667,2010-11-07,69.0
