Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-19,517.2
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-20,444.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-21,455.2
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-22,448.4
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-23,433.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-24,431.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-25,653.75
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-26,595.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-27,894.8333333333334
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-28,923.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-29,943.75
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-09-30,518.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-01,578.75
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-02,629.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-03,864.3333333333334
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-04,1010.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-05,1046.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-06,778.6666666666666
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-07,596.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-08,838.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-09,832.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-10,767.3333333333334
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-11,633.25
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-12,474.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-13,502.2
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-14,434.25
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-15,589.6666666666666
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-16,495.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-17,675.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-18,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-19,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-20,449.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-21,449.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-22,602.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-23,589.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-24,504.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-25,342.25
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-26,338.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-27,339.3333333333333
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-28,320.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-29,368.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-30,368.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-10-31,501.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-01,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-02,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-03,372.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-04,340.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-05,297.2
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-06,247.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-07,383.6666666666667
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-08,685.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-09,529.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-10,374.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-11,223.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-12,127.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-13,173.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-14,207.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-15,219.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-16,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-17,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-18,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-19,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-20,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-21,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-22,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-23,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-24,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-25,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-26,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-27,430.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-28,298.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-29,341.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-11-30,296.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-12-01,426.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-12-02,178.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-12-03,301.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-12-04,301.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-12-05,425.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2010-12-06,
