Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-11,234.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-12,250.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-13,267.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-14,267.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-15,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-16,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-17,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-18,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-19,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-20,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-21,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-22,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-23,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-24,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-25,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-26,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-27,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-28,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-29,141.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-30,172.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-03-31,172.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-01,204.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-02,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-03,232.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-04,232.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-05,276.5
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-06,321.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-07,321.0
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-08,
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358,2016-04-09,
