Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-18,184.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-19,121.66666666666667
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-20,78.75
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-21,60.333333333333336
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-22,115.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-23,72.75
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-24,114.33333333333333
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-25,104.85714285714286
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-26,159.66666666666666
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-27,140.75
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-28,228.66666666666666
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-29,211.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-30,211.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-08-31,173.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-01,316.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-02,147.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-03,137.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-04,78.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-05,109.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-06,
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-07,
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-08,231.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-09,120.33333333333333
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-10,81.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-11,60.2
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-12,54.2
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-13,57.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-14,39.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-15,29.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-16,227.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-17,139.75
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-18,103.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-19,41.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-20,48.25
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-21,65.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-22,52.666666666666664
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-23,27.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-24,54.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-25,67.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-26,67.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-27,
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-28,
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-29,119.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-09-30,130.66666666666666
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-01,133.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-02,133.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-03,116.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-04,107.33333333333333
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-05,86.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-06,140.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-07,140.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-08,159.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-09,106.66666666666667
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-10,106.66666666666667
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-11,70.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-12,63.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-13,52.666666666666664
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-14,52.666666666666664
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-15,31.0
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-16,129.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-17,129.5
ZAF124,ZAF124_40,Modderdam,-33.9257724,18.6321124,2016-10-18,104.75
