Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-23,87.25
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-24,98.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-25,160.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-26,150.16666666666666
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-27,176.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-28,120.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-29,133.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-11-30,132.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-01,151.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-02,191.33333333333334
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-03,148.25
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-04,142.16666666666666
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-05,111.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-06,135.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-07,183.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-08,175.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-09,179.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-10,113.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-11,134.25
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-12,123.2
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-13,197.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-14,144.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-15,153.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-16,132.6
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-17,135.33333333333334
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-18,153.2
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-19,133.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-20,178.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-21,163.33333333333334
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-22,218.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-23,213.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-24,143.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-25,113.66666666666667
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-26,105.2
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-27,120.25
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-28,110.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-29,161.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-30,130.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2013-12-31,148.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-01,102.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-02,121.4
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-03,126.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-04,132.66666666666666
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-05,193.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-06,204.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-07,204.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-08,
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-09,
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-10,61.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-11,85.66666666666667
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-12,129.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-13,133.6
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-14,184.2
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-15,136.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-16,153.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-17,94.66666666666667
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-18,104.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-19,100.25
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-20,91.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-21,146.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-22,147.75
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-23,158.6
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-24,120.2
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-25,91.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-26,100.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-27,123.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-28,251.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-29,156.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-30,154.25
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-01-31,98.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-01,79.66666666666667
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-02,43.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-03,75.5
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-04,129.6
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-05,128.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-06,143.6
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-07,108.6
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-08,113.0
ZAF124,ZAF124_53,Springbok,-29.6660948,17.8831039,2014-02-09,74.75
